saved_at,page_slug,page_url,content_type,viewport,screenshot_file,status,error,source,local_images_injected
20260612-193958,de-ce-mautic-dintre-425-altele,https://ionutojica.ro/de-ce-mautic-dintre-425-altele/,post,desktop-1440,screenshots/posts/desktop-1440/de-ce-mautic-dintre-425-altele.png,ok,,live_url,True
20260612-193958,de-ce-mautic-dintre-425-altele,https://ionutojica.ro/de-ce-mautic-dintre-425-altele/,post,mobile-390,screenshots/posts/mobile-390/de-ce-mautic-dintre-425-altele.png,ok,,live_url,True
20260612-193958,ce-este-mautic,https://ionutojica.ro/ce-este-mautic/,post,desktop-1440,screenshots/posts/desktop-1440/ce-este-mautic.png,ok,,live_url,True
20260612-193958,ce-este-mautic,https://ionutojica.ro/ce-este-mautic/,post,mobile-390,screenshots/posts/mobile-390/ce-este-mautic.png,ok,,live_url,True
20260612-193958,afla-pentru-ce-platesti-pe-activecampaign,https://ionutojica.ro/afla-pentru-ce-platesti-pe-activecampaign/,post,desktop-1440,screenshots/posts/desktop-1440/afla-pentru-ce-platesti-pe-activecampaign.png,ok,,live_url,True
20260612-193958,afla-pentru-ce-platesti-pe-activecampaign,https://ionutojica.ro/afla-pentru-ce-platesti-pe-activecampaign/,post,mobile-390,screenshots/posts/mobile-390/afla-pentru-ce-platesti-pe-activecampaign.png,ok,,live_url,True
20260612-193958,open-source-folosit-de-milioane-de-oameni,https://ionutojica.ro/open-source-folosit-de-milioane-de-oameni/,post,desktop-1440,screenshots/posts/desktop-1440/open-source-folosit-de-milioane-de-oameni.png,ok,,live_url,True
20260612-193958,open-source-folosit-de-milioane-de-oameni,https://ionutojica.ro/open-source-folosit-de-milioane-de-oameni/,post,mobile-390,screenshots/posts/mobile-390/open-source-folosit-de-milioane-de-oameni.png,ok,,live_url,True
20260612-193958,folosesc-keepass-nu-a-spart-nimeni-contul-de-email,https://ionutojica.ro/folosesc-keepass-nu-a-spart-nimeni-contul-de-email/,post,desktop-1440,screenshots/posts/desktop-1440/folosesc-keepass-nu-a-spart-nimeni-contul-de-email.png,ok,,live_url,True
20260612-193958,folosesc-keepass-nu-a-spart-nimeni-contul-de-email,https://ionutojica.ro/folosesc-keepass-nu-a-spart-nimeni-contul-de-email/,post,mobile-390,screenshots/posts/mobile-390/folosesc-keepass-nu-a-spart-nimeni-contul-de-email.png,ok,,live_url,True
20260612-193958,primul-articol-entuziasm-maxim,https://ionutojica.ro/primul-articol-entuziasm-maxim/,post,desktop-1440,screenshots/posts/desktop-1440/primul-articol-entuziasm-maxim.png,ok,,live_url,True
20260612-193958,primul-articol-entuziasm-maxim,https://ionutojica.ro/primul-articol-entuziasm-maxim/,post,mobile-390,screenshots/posts/mobile-390/primul-articol-entuziasm-maxim.png,ok,,live_url,True
20260612-193958,test,https://ionutojica.ro/test/,page,desktop-1440,screenshots/pages/desktop-1440/test.png,ok,,live_url,True
20260612-193958,test,https://ionutojica.ro/test/,page,mobile-390,screenshots/pages/mobile-390/test.png,ok,,live_url,True
20260612-193958,4987-2,https://ionutojica.ro/4987-2/,page,desktop-1440,screenshots/pages/desktop-1440/4987-2.png,ok,,live_url,True
20260612-193958,4987-2,https://ionutojica.ro/4987-2/,page,mobile-390,screenshots/pages/mobile-390/4987-2.png,ok,,live_url,True
20260612-193958,email-marketing-mautic-migrare,https://ionutojica.ro/email-marketing-mautic-migrare/,page,desktop-1440,screenshots/pages/desktop-1440/email-marketing-mautic-migrare.png,ok,,live_url,True
20260612-193958,email-marketing-mautic-migrare,https://ionutojica.ro/email-marketing-mautic-migrare/,page,mobile-390,screenshots/pages/mobile-390/email-marketing-mautic-migrare.png,ok,,live_url,True
20260612-193958,twentytwentyfive-child,https://ionutojica.ro/twentytwentyfive-child/,page,desktop-1440,screenshots/pages/desktop-1440/twentytwentyfive-child.png,ok,,live_url,True
20260612-193958,twentytwentyfive-child,https://ionutojica.ro/twentytwentyfive-child/,page,mobile-390,screenshots/pages/mobile-390/twentytwentyfive-child.png,ok,,live_url,True
20260612-193958,platforma-ta-de-cursuri-online,https://ionutojica.ro/platforma-ta-de-cursuri-online/,page,desktop-1440,screenshots/pages/desktop-1440/platforma-ta-de-cursuri-online.png,ok,,live_url,True
20260612-193958,platforma-ta-de-cursuri-online,https://ionutojica.ro/platforma-ta-de-cursuri-online/,page,mobile-390,screenshots/pages/mobile-390/platforma-ta-de-cursuri-online.png,ok,,live_url,True
20260612-193958,termeni-si-conditii,https://ionutojica.ro/termeni-si-conditii/,page,desktop-1440,screenshots/pages/desktop-1440/termeni-si-conditii.png,ok,,live_url,True
20260612-193958,termeni-si-conditii,https://ionutojica.ro/termeni-si-conditii/,page,mobile-390,screenshots/pages/mobile-390/termeni-si-conditii.png,ok,,live_url,True
20260612-193958,impressum,https://ionutojica.ro/impressum/,page,desktop-1440,screenshots/pages/desktop-1440/impressum.png,ok,,live_url,True
20260612-193958,impressum,https://ionutojica.ro/impressum/,page,mobile-390,screenshots/pages/mobile-390/impressum.png,ok,,live_url,True
20260612-193958,home-contact,https://ionutojica.ro/home/contact/,page,desktop-1440,screenshots/pages/desktop-1440/home-contact.png,ok,,live_url,True
20260612-193958,home-contact,https://ionutojica.ro/home/contact/,page,mobile-390,screenshots/pages/mobile-390/home-contact.png,ok,,live_url,True
20260612-193958,culori,https://ionutojica.ro/culori/,page,desktop-1440,screenshots/pages/desktop-1440/culori.png,ok,,live_url,True
20260612-193958,culori,https://ionutojica.ro/culori/,page,mobile-390,screenshots/pages/mobile-390/culori.png,ok,,live_url,True
20260612-193958,blog,https://ionutojica.ro/blog/,page,desktop-1440,screenshots/pages/desktop-1440/blog.png,ok,,live_url,True
20260612-193958,blog,https://ionutojica.ro/blog/,page,mobile-390,screenshots/pages/mobile-390/blog.png,ok,,live_url,True
20260612-193958,politica-de-confidentialitate,https://ionutojica.ro/politica-de-confidentialitate/,page,desktop-1440,screenshots/pages/desktop-1440/politica-de-confidentialitate.png,ok,,live_url,True
20260612-193958,politica-de-confidentialitate,https://ionutojica.ro/politica-de-confidentialitate/,page,mobile-390,screenshots/pages/mobile-390/politica-de-confidentialitate.png,ok,,live_url,True
